	term	discription	
1797	청력측정검사: audiometry	    특정한 자극을 귀나 청각에 관계하는 곳에 가해서 청력을 측정하는 방법. 여러 가지가 있지만 대표적인 것은 다음과 같다.    ①순음청력검사(pure tone audiometry): 삐-소리가 나는 순음을 크기나 강도를 달리하여 들려주고 들을 수 있는지 여부를 이용하여 청력을 검사하는 방법.    ②어음청취검사(speech audiometry): 단음절어나 2음절어를 크기나 강도를 달리하여 들려주고 이것을 듣는지 못듣는지를 알아내어 청력을 검사하는 방법.	
1798	청색증: cyanosis	    피부나 점막이 푸르스름해지는 것으로 환원 적혈구가 많을 경우에 나타난다. 적혈구속에 산소와 결합하여 산소를 운반하는 역할을 하는 것을 혈색소라고 하는데 이 혈색소가 산소와 결합하지 못한 것을 환원 혈색소라고 한다. 대개 이 환원적혈구의 혈중농도가 5%이상일 경우에 청색증이 나타난다. 이 청색증은 특히, 입술, 손가락의 끝, 귀 등에서 쉽게 관찰이 되어진다. 이 청색증은 중심성과 말초성의 두 가지로 나뉘어질 수가 있다. 중심성 청색증(central cyanosis)은 혀, 입술, 구강점막 등 중심부위에 주로 청색증이 나타나는 경우로 이 경우는 폐에서 가스교환의 문제가 있어서 동맥혈에 일정량 이하의 산소가 포함이 되어 있는 경우에 생기는 현상으로 호흡기 질환이나, 해발 2400미터이상의 고지에 있는 경우에 생길 수가 있다. 말초성 청색증(peripheral cyanosis)은 손가락 등의 신체의 말단 부위에 청색증이 있는 경우로 주로 혈류의 순환의 이상으로 혈류가 신체의 말초에 지체되어 있는 경우에 주로 발생한다.	
1799	청소: clearance	    단위시간에 어떤 물질이 분비기관을 통하여 혈액에서 제거되는 현상 혹은 제거할 수 있는 능력. 치과용어로는 지대치 형성된 치아의 교합면과 대합치 교합면과의 거리 또는 대합치 교합면간의 거리를 주로 나타내고, 기타 서로 마주보고 있는 물체간의 거리를 나타낼 경우에도 적용된다.	
1800	청신경: auditory nerve	    귀에서 감지된 청각의 신호를 대뇌로 보내는 역할을 하는 신경. 달팽이신경라고 불리기도 한다. 그것은 소리를 전기적 신호로 바꾸어 신경으로 전달해 주는 달팽이의 집같이 생긴 기관을 달팽이라고 부르기 때문이다.    	
1801	청신경초종: acoustic neuroma, acoustic neurilemmoma	    청신경(제8뇌신경)의 신경겉을 싸고 있는 집(sheath)의 슈반세포(Schwann cell)에서 기원하는 종양-뇌종양 중 비교적 흔하며 대개 40~50대에 호발한다. 증상으로는 귀울림, 난청, 소뇌기능장애 등이 있으며, 이중 귀울림이 가장 초기의 증상이다.	
1802	청진(법): auscultation	    몸속에서 나는 소리를 듣는 것, 또는 듣는 방법.	
1803	청진기: stethoscope	    환자의 몸 안에서 나는 소리를 듣는 데 쓰는 의료 기구. 집음부의 소리를 고무관으로 유도하여 양쪽 귀로 듣는 양쪽귀형을 주로 많이 쓰며, 이것에 의해서 호흡, 심장, 흉막, 동맥, 정맥, 자궁, 태아, 창자 및 그 외의 음이 검사자의 귀에 전달되게 만든 것. 1816년 라에네크는 어린이의 놀이에서 힌트를 얻어 종이로 만든 통을 귀에 대고 청진에 응용하였더니 그 효과가 큰 데 놀라 이것을 목제통으로 개량함으로써 1819년 청진기를 창제하게 되었다. 현재 사용되고 있는 두귀형 청진기는 1851년 에레아드에 의해 창제된 것이다. 그 후 여러 가지로 개량되어 모양도 다종다양해졌으며, 트라우베 청진기로 총칭되는 관상인 것과 쌍이형 청진기로 크게 구별한다.	
1804	체순환: systemic circulation	    왼심실에서 신체를 돌아 오른심방까지의 순환을 의미하며, 왼심실 → 대동맥 → 동맥 → 모세혈관 → 정맥 → 대정맥 → 오른심방의 회로를 순환한다.	
1805	체온조절: thermoregulation	    인체의 뇌에는 체온조절의 중추가 존재하며 이곳에는 체온조절의 목표가 되는 정점(set point)가 기억되어 있다. 만약 체온감지기에서 감지된 체온이 정점이 다를 때에는 체온조절기를 통해 제어한다. 이 체온조절기에는 근육이 떨기(shivering), 땀샘에 의한 땀의 분비, 피부혈관의 확장 등이 있다.    감염시 나타나는 발열 현상은 감염에 의해 유리되는 내인성 발열물질(endogenous pyrogen, interleukin-1)에 의해 체온조절 중추의 정점이 상승되어 인체가 정점에까지 체온을 상승시키기 위하여 운동을 중가시키고 발한을 억제하고 피부혈관을 축소시키는 현상이다.	
1806	체외순환, 몸밖순환: extracorporeal circulation	    체외의 인공회로를 따라 이루어지는 순환법. 혈관내에 삽입한 튜브를 통하여 혈액을 일단 체외로 내보내서, 펌프에 의하여 연속하여 재차 체내에 되돌리는 순환을 체외순환이라고 한다. 여러 가지의 목적을 위하여 사용되며, 여러 가지의 방식이 있다. 가장 널리 사용되고 기본으로 되어 있는 것은, 인공심폐에 의한 체외순환으로 상-하대정맥에 삽입한 삽관을 통하여 심장으로 되돌아가는 정맥혈을 체외에 있는 산소화장치로 이끌어서 산소를 가한 후, 펌프에 의하여 동맥내로 보내는 방식으로 심장으로의 환류혈의 전부를 산소화장치로 이끄는 경우를 완전체외순환, 일부분만을 이끄는 경우를 부분체외순환이라고 한다. 이외에 좌심두름길법, 우심두름길법, 신체의 일부분만의 체외순환, 보조순환등이 있다.	
1807	체형, 체질: habitus	    체격을 외견상의 특징에 의하여 분류한 유형. 흔히 기질-성격과 결부시킨다. E.크레치머는, 키가 작고 어깨폭이 좁은 데 비하여 몸통이 굵은 비만형, 키가 크고 뼈나 근육의 발달이 나쁜 세장형, 이 둘의 중간형으로 어깨폭이 넓고 근골이 건장한 투사형의 세 가지 형을 설정하였다. 비만형은 명랑하고 사교적인 외향성의 기질, 세장형은 내성적인 기질과 결합되는 경향이 있다는 것을 지적하였다.	
1808	초경, 초조: menarche	    여성이 제 2차 성발달을 시작하여 처음 맞이하는 월경을 이른다. 대개 여성의 제 2차 성발달은 엉덩이가 커지기 시작하여, telache(유방이 나오기 시작함), pubache(음부에 털이 나오기 시작함), menarche(초경)의 순으로 이루어진다.    성발달의 단계에서 1차 성발달은 태아기에 고환, 혹은 난소의 발생이 일어나는 것을 말하고, 2차 성발달은 남성 혹은 여성의 외부성기모양을 갖고 태어난 후에 남성으로서의 성장, 여성으로서의 성장이 이루어지는 것을 말한다.	
1809	초미세여과법, 한외거르기: ultrafiltration	    아주 작은 구멍이 있는 여과막을 통해 여과하여 극히 미세한 입자를 분리하는 것. 일반적으로 분리과정을 촉진시키기 위하여 압력하에서 이루어진다.	
1810	초미세현미경: ultramicroscope	    미립자를 관찰할 수 있는 특수 현미경. 특수 조명법에 의해서 보통현미경으로는 볼 수 없는 미립자를 분별할 수 있는 현미경이다. 암시야현미경이라고도 한다. 1903년 독일의 R.지그몬디에 의해 만들어졌으며, 그는 이것을 사용하여 콜로이드의 연구에 공적을 남겼다. 어두운 방에 빛이 들면 먼지가 빛나 보이는 틴들현상을 이용한 것으로서 카르디오이드 집광기나 파라볼로이드 집광기라고 하는 특수한 모양의 집광기를 사용해서 시료를 옆에서 비추어 그것에 의한 산란광을 관측한다. 접안경을 들여다보면 암측의 배경 속에 미립자가 별과 같이 빛나 보인다. 현재 사용되는 것은 0.25~0.04μm의 미립자까지 확인할 수 있다.    	
1811	초원심분리기: ultracentrifuge	    매분 수만 회 이상의 고속으로 회전시켜 중력 가속도의 수십만 배에 이르는 원심 가속도를 만들어 내는 원심 분리기. 고분자 용액 속의 용질 고분자의 침전 과정을 직접 관측하기 위한 분석용과, 성분의 분리-농축 등의 목적으로 사용되는 분리용이 있다. 단백질, 핵산 따위의 생화학적인 연구에 사용한다.	
1812	초음파: ultrasonic, ultrasound	    사람의 귀에 소리로 들리는 한계 주파수 이상이어서 들을 수 없는 음파. 파장이 작고 지향성이 강하기 때문에 그 펄스를 발전시켜 바다의 깊이를 재는 음파 탐지기나 어군 탐자기에 이용한다. 같은 원리로 고체 재료의 내부 결함을 검사하거나, 보석-유리 따위의 절단이나 가공, 유탁액의 생성-세척-살균 따위에도 이용한다.	
1813	초음파검사법: ultrasonography	    조직내에 비추어진 초음파의 반사를 기록하여 신체의 심부구조를 보는 것. 다른 검사법과 달리 인체에 전혀 해가 없다. 쉽게 시행할 수 있는 장점이 있으며, 특히 인체내에 존재하는 종양이 낭성(안에 액체가 차있는 경우)인지, 고형(안에 세포로만 차있는 경우)인지의 감별에 유리하다.	
1814	초음파도: sonogram	    초음파를 인체에 쏘아 그 반사되는 정도를 촬영함으로써 인체의 질병유무를 검사하는 방법. 특히 체내에 종괴가 있을 때 그것이 고형성 종괴인지 낭성 종괴인지 판별하는데 가장 유용하다. 또한 기본적으로 인체에 해가 없으므로 초기 검사 방법으로 널리 쓰인다.    초음파 촬영의 기본용어    1)에코(echo): 초음파가 반사되는 정도에 따라 anechoic(전혀 반사되지 않음. 사진상에서 까맣게 보인다), hypoechoic(조금 반사된다. 조금 하얗게 보인다), hyperechoic(아주 많이 반사되어 사진상에서 아주 하얗게 보인다)으로 구분된다.    2)음파의 음영(sonic shadow): 투과가 잘 안되는 물질(돌같은 구조물. 예를 들어 신장에 존재하는 신석 등)의 뒷부분에 초음파가 도달하지 못하여 나타나는 부분으로 아주 까맣게 보인다.    3)음파의 증강(sonic enhancement): 투과가 잘 되는 물질(낭종 등)의 뒷부분에 초음파의 반사정도가 증가되는 현상. 다른 곳보다 희게 보인다.	
1815	초음파영상, 메아리영상: echogram	    고주파수의 초음파를 사용하는 진단적 영상술, 초음파 조영술이라고도 한다. 인간의 가청영역은 20~20,000Hz이므로 20,000Hz 이상의 음파를 가리키는데, 의학에서는 100만Hz 즉 1mHz에서 1,500만Hz 즉 15mHz의 초음파가 이용되고 있다. 의학에 응용된 것은 1947년 경의 일이지만 그후 급속히 발달하여 여러 가지 방법으로 인체의 화상이나 정보를 얻을 수 있게 되었고, 비침습적(환자의 몸속에 기구를 넣지 않는, 즉 환자에게 주는 부담이 적다)화상진단법의 중요한 부분이 되어 있다. 이 기구는 음파를 이용하기 때문에 이 초음파가 투과할 수가 없는 뼈나 공기가 있는 부위인 허파의 진단에는 응용할 수 없다. 그러나 방사선 등을 사용할 필요가 없고, 장치도 거치형에서부터 손으로 들을 수 있는 것까지 여러 가지가 연구-개발되어 있어서 어디에서나 진단에 이용할 수 있는 잇점이 있다.    주요 이용은 머리뼈가 아직 완전히 닫히지 않은 신생아의 머리뼈 속 출혈의 진단, 눈이나 목, 갑상샘, 젖샘, 간, 이자, 지라, 콩팥 등 심재 장기의 형태, 종양 진단, 심장의 심실이나 판막 등의 움직임이나 심강내 종양의 진단, 쓸개, 쓸개관의 종양이나 담석증의 진단, 방광종양의 진단, 나아가서는 임신의 조기진단이나 태아의 진단에까지 이르고 있다. 고에너지의 초음파는 발열을 일으키지만 진단용 장치에 의한 생체의 작용은 없다.	
1816	초자아: superego	    프로이드의 성격구조이론에 의해 성격을 세 부분으로 나누는 것 중 하나이다. 성격에는 이기적 본능인 이드(Id), 현실적응능력을 가진 자아(Ego), 그리고 무엇이 옳고 그른지를 판단하는데 관여하는 성격의 도덕적 부분인 초자아가 있다. 초자아는 양심(conscience)과 자아이상(Ego ideal)의 두 부분으로 구성된다. 양심은 부모들이 아이에 대해 비난했거나 벌을 주던 일이 토대가 되어 금지했던 행동을 할 때 죄책감을 느끼게 된다. 자아이상은 아이가 부모로부터 칭찬받았던 일들이 토대가 되며 자아이상을 만족시키면 행복감과 자존심을 깊이 느끼게 된다. 초자아는 에디푸스 콤플렉스(Oedipus complex)가 해결되는 시기에 생성되어 이때부터 자기통제(self control)가 부모통제를 대신한다. 초자아는 자신이 자라온 사회의 가치관과 전통의 많은 부분을 포함하고 있다.	
1817	촉진: palpation	    손으로 만져보는 것. 진찰에서 꼭 해보야 하는 것으로 다음과 같은 것이 있다. 먼저 환자의 병력을 물어 보아야 하며, 이상부위를 촉진해 보아야 하며, 그 부위를 타진해 보고, 또한 청진해 보아야 한다. 이런 문진(history taking), 촉진(palpation), 타진(percussion), 청진(auscultation)은 의사의 기본적인 4가지 진단 수기이다.	
1818	촌충, 조충: Taenia	    조충강에 속하는 편형동물의 총칭. 조충강은 다시 단절아강과 다절아강으로 나뉘며, 모두 척추동물의 기생충이다. 사람은 익히지 않은 물고기, 쇠고기, 돼지고기 등을 날것으로 먹으면 감염된다. 세계적으로 약 3,400종이 알려져 있으나, 한국에는 15종만이 밝혀져 있다. 	
1819	총담관결석증: 	  = 온슬개관돌증 	
1820	총상: gunshot wound	    총기류에 의해 상처를 입은 것. 라이플-권총-공기총 등의 탄환에 의한 상처-탄환에 충분한 힘이 있으면 몸을 관통하여 관통총창이 되지만, 그렇지 못할 경우에는 총탄이 체내에 머물러 맹관총창이 된다. 따라서, 전자에서는 사입공(총알이 들어간 부위)과 사출공(총알이 나간 부위)가 있고, 후자에는 사입공만 있다. 일반적으로 사입공은 작고 그 테두리가 깨끗하지만 사출공은 피부가 파열되어 구멍이 크므로 곧 구별된다. 가까이서 맞은 자는 사입구 부근에 화약에 의한 탄소가 부착되어 있는 것을 볼 수 있다. 또 사입구 안쪽에는 옷의 헝겊조각 등이 눌려져 있는 수도 있다. 손상은 대체로 사입구와 사출구를 연결하는 길에 있는 장기 조직에 일어난다. 맹관총창에서는 탄환이 체내에 머무는데, 통과한 조직장기를 손상시키는 것은 관통총창과 같다.	
1821	총인구조사: census	    나라가 실시하는 인구에 관한 종합적 조사로, 조사년의 특정날 현재의 인구를 알 수 있다. 10년마다 실시하는 정식조사와 그 중간 5년째의 간이조사가 있다. 조사항목은 성명, 나이, 출생년월, 가족상황, 배우자의 유무, 국적, 현주소에서의 거주시기, 교육상황, 취업상황, 직업의 종류 등 동거인에 관한 사항 및 동거인의 수, 가계수입, 주거의 종류, 주택의 수-크기 등의 세대에 관한 사항이며, 나라의 지정통계이다.	
1822	최면: hypnosis	    의도적-인위적으로 야기되는 인간의 특수한 상태 및 그것이 원인 되어 생기는 심리적-생리적인 일련의 현상들. 인위적으로 유발된 혼수상태로서 몽유증과 비슷하다. 이 상태에서 최면에 걸린 사람은 암시에 대하여 고도의 감수성을 나타내며 다른 것은 모두 잊어버리고 시술자의 명령에 신속히 반응한다. 상태는 수면과 각성의 중간적 특징, 특히 잠들 때의 상태와 비슷하나 수면과 분명히 구별된다. 피암시성이 현저히 항진되어 평소와는 다른 의식성이 특징이며, 의식이나 운동-지각-기억-사고-상상-감정 등의 여러 심리학적 활동, 뇌파와 근전도, 위장, 순환계, 자율신경계 등의 생리학적 활동의 변화를 볼 수 있다. 최면을 유도하는 수단을 ‘최면법’이라 하고 타인에 의해 유도되는 것을 ‘타자최면’, 자기 자신이 유도하는 것을 ‘자기최면’이라 한다. 둘 다 준비된 일련의 암시 계열에 차례차례 반응시킴으로써 암시에 대한 반응의 용이성, 즉 피암시성을 서서히 항진시키면서 아울러 의식성의 변화도 강화하는 것이 골자이다. 	
1823	최면약, 수면약: hypnotic	    수면제는 중추신경을 가역적으로 억압시켜 수면을 유도하고 수면상태를 유지시키는 약물이며, 진정제는 흥분을 가라앉히고 평온 상태를 지속시키는 약물로 구별할 수 있으나 실제로는 진정제와 수면제와의 구별이 곤란하여 보통 진정-수면제로 분류하며 대부분 과량에서 전신마취작용을 나타낸다. 그러므로 진정-수면 및 전신마취는 일종의 비특이성 중추억압에 의한 현상으로 중추신경계가 억압받는 정도 차이일 뿐이다. 진정-수면제는 약물에 따라 항경련제, 근육이완제, 항불안제 및 전신마취제로도 사용된다.	
1824	추출물: extract	    1. 식물성 약품 또는 동물성 약품을 농축하여 얻는 것으로서, 그 중 어떤 활성성분을 적당한 용매로 분리하고, 용매를 증발시키고 남은 덩어리나 가루. 2. 생약을 적절한 침출액으로 짜내고 침출액을 증발시켜 농축한 제제이다.	
1825	축동: miosis	    동공이 축소된다는 의미. 동공은 빛이 눈에 들어가는 부분을 의미하는데, 밖에서 그냥 보아 가운데 가장 까만 부분을 말한다. 대개 밝은 곳에 가면 축소하고, 어두운 곳에 가면 넓어져서 들어오는 빛의 양을 조절하여 명확한 시야형성에 기여하고, 너무 강한 빛에 의한 망막의 손상을 방지한다.	
1826	축삭: axon	    뉴런(신경원-신경세포)의 한부분으로 신경의 전기적 신호를 다른 신경이나 기관에 전해주는 긴 구조를 이르는 말.    	
1827	출산수, 임신분만력, 출산력: parity	    출산, 생존할 수 있는 아이를 출산하는 것에 관계된 여자의 상태.	
1828	출산외상, 분만외상: birth trauma	    분만의 과정에서 받은, 또는 그것에 의해 신생아에게 끼친 상해. 정신분석학에서는 아기가 태어날 때에 경험한다고 생각되는 심적 손상이나 두려움. 인간이 갖는 불안의 원형이라고 한다.	
1829	출생모반, 모반, 점: birthmark	    출생할 때 이미 가지고 나오는 혈관성 모반, 자연적으로 살갗에 나타난 얼룩무늬나 반점, 사마귀, 점, 주근깨 따위를 이른다.	
1830	출생체중: birth weight	    재태주수에 관계없이 출생시에서의 신생아 체중. 남녀 모두 약 반수가 3,000~3,500g에 포함된다. 2,500g 이하(빈도 7%)를 미숙아(WHO, 1951년)로 했는데, 1961년 이 조건에 해당하는 아기를 저출생체중아(2,500~1,500g)로 명명하도록 권고하고 있다. 그 밖에 1,500g 미만을 극소미숙아, 1,000g 미만을 초미숙아로 부른다. 4,000g 이상(빈도 3%)를 거대아라고 한다. 재태기간 주수에서의 출생시 평균체중이 2kg 이내인 아기를 영어로 AFD(appropriate for dates)아, 1,5kg 이하를 SED(small for dates)아 또는 LED(light for dates)아, 1,5kg 이상의 것을 LFD(large for dates)아 또는 HFD(heavy for dates)아로 부른다. 현재 LFD, HFD를 사용하도록 WHO가 권고하고 있다.	
1831	출혈: hemorrhage	    혈액의 모든 성분(특히 적혈구)이 혈관계의 밖으로 나오는 것. 종류와 원인은 다음과 같은 것이 있다. ① 파열성 출혈(외상으로 정상인 혈관벽이 파열되었을 때 또는 동맥경화증, 동맥자루나 정맥자루와 같이 혈관벽이 파열되기 쉬운 병터가 있을 경우에 특별히 외력이 작용하지 않아도 혈압의 항진에 따라서 혈관이 파열됐을 때 혈액의 유출을 본다). ② 누출성출혈(혈관벽에 뚜렷한 파열이 없이 비타민 C 결핍, 세균성독소의 작용 등으로 모세혈관이나 세정맥의 혈관투과성이 항진되어 그 결과로 출혈한다). 또한 혈액이 체외로 유출되는 경우를 외출혈이라 하고 조직내나 체강내로 나오는 경우른 내출혈이라고 한다. 소출혈반은 그 크기에 의하여 점출혈, 자색반(purpura), 반출혈(ecchymoses) 등으로 분류된다. 조직내 대량의 혈액 저류는 혈종(hematoma) 이라고 부른다.	
1832	출혈경향, 출혈소인: bleeding tendency	    혈관내를 흐르고 있는 혈액이 혈관밖으로 유출되는 것을 저지하거나 혈과벽의 손상으로 유출되었던 혈액이라도 바로 굳어서 더 이상의 출혈을 방지하는 과정을 지혈이라고 하는데, 여기에는 혈소판, 응고계, 혈관계가 종합적으로 작용한다. 이러한 지혈 메커니즘에 장애가 오면 전신적으로 출혈하기 쉬운 상태가 되는데 사소한 손상에도 출혈이 되는 것이 그 현상이다.	
1833	출혈시간: bleeding time	    몸에 상처가 나서 출혈이 있었을 경우에 피가 멎는데 까지 걸리는 시간을 출혈시간이라고 한다. 사람의 몸에 상처가 나서 출혈이 있을 경우에 이것을 막고 피를 더이상 나지 않게 하는 것을 지혈이라고 한다. 지혈의 과정에는 크게 두 가지 단계가 있다. 첫번째 단계는 혈소판들이 상처가 나서 손상된 혈관의 부위를 막는 것이다. 이렇게 하면 우선 혈관의 손상부위로부터 피가 나오는 것을 막을 수가 있다. 다음의 단계는 상처를 막고 있는 혈소판위에 여러 가지 물질들이 작용해서 더욱 단단하게 하여 상처가 난 혈관에서 피가 새는 것을 영구히 막는 것이다. 쉽게 말하면 혈소판은 벽돌에 해당하는 것이고 두번째 과정에 참여하는 물질들은 시멘트에 해당하는 것이다. 이 두 과정이 완전할 경우에 지혈이 순조롭게 일어난다.    출혈시간은 위에서 설명한 지혈의 두가지 과정 중에서 첫번째 과정에 의해서만 영향을 받는다. 즉 손상된 혈관을 막아주는 벽돌에 해당하는 혈소판의 기능만 정상일 경우에 출혈시간은 정상으로 나온다. 만약 혈소판의 기능에 이상이 있는 경우에는 자연히 출혈시간이 길어진다.	
1834	충치, 치아우식증: dental caries	    치아의 조직이 세균에 의해 용해내지 파괴되어 점차 통증을 나타내다가 치아를 잃게 되는 하나의 세균성 병이라고 볼 수 있다. 우리나라에서는 영구치의 충치 이환율이 약 80%로, 한 사람이 2~3개의 충치를 갖고 있는 셈이며, 구강 보건상태는 도시, 농촌지역, 해안지역 순으로 좋다.    원인은 치태(dental plaque)로서, 이것은 점액이나 탈락한 잇몸의 세포들, 그리고 세균 등으로 이루어져 있으며, 점착성이 강하여 치아 표면에 잘 부착되어 양치질이나 칫솔질로는 쉽게 제거되지 않는다. 치태에는 그물모양의 구조내에 막대균과 알균이 섞여 있는데, 특히 내산성 사슬알균과 젖산균이 많다. 현재 가장 유력한 충치의 원인균으로 밝혀지고 있는 이 사슬알균은 설탕을 합성하는 능력을 가지고 있으며, 덱스트란(dextran)을 형성한다고 생각되는데, 이 덱스트란은 물에 녹지 않으며 끈적거리는 점착성이 있어 치태가 치아표면에 잘 붙어 있게 한다. 이 사슬알균은 설탕으로부터 유기산과 치태를 형성한다. 치태 중에는 사슬알균이 생산하는 산이 정체되어 있기 때문에, 이 산에 의해 치아 표면의 단단한 석회질을 녹인다. 대부분이 인산칼슘으로 구성되어 있는 치아의 표면은 산에 의해 칼슘이 분해되어 치아 표면이 거칠어지면서 충치가 진행된다. 이와 같이 세균과 이 세균이 생산하는 화학적 물질에 의해서 충치가 생긴다는 가설을 세균-화학설이라고 한다. 충치의 발생원인에는 이 세균-화학설 이외에도 미생물이 치아표면의 유기질 부위에 먼저 부착되어 산을 만들어 파괴시킨다는 단백용해설도 있으며, 또한 산에 의하지 않는 치아의 파괴, 음식물이 원인이 된다고 주장하는 학설도 있다. 설탕은 충치를 가장 잘 유발시키는 물질로, 섭취 빈도에 따라 충치가 증가한다는 것이 증명되고 있다. 비타민은 충치 요인에 그리 중요하지 않은 것으로 보이며 음식물 내에 존재하는 칼슘과 인 또한 중요하지 않다고 한다. 유전적 소인은 중요한 역할을 하리라 생각되지만 증명하기가 어렵다.	
1835	충혈: hyperemia	    어느 국소의 혈관 주로 동맥 내를 흐르는 혈액량이 늘어나고 있는 상태. 국소에 흘러드는 동맥성의 혈액량을 늘리기 위해서는 그것을 나르는 동맥을 확장하지 않으면 안된다. 동맥벽의 수축-확장은 근육층 자체의 생리적 기능과 이것을 지배하는 혈관운동신경의 작용에 의해서 생긴다. 신경작용을 통해서 생기는 동맥의 확장에는 동맥을 수축시키는 신경의 마비에 의해서 생기는 것과 동맥을 확장시키는 신경의 긴장에 의해서 생기는 것이 있다. 전자를 신경마비성 충혈, 후자를 신경긴장성 충혈이라고 한다. 염증인 경우에 볼 수 있는 충혈을 염증성 충혈이라고 한다. 장기조직의 기능항진이 있을 때에는 반드시 그 국소에 대한 혈액관류량이 늘어 충혈을 일으킨다. 이것을 기능적 충혈이라고 한다. 허파, 콩팥 등에서 한쪽의 장기에 대한 혈액관류량이 감소한 경우에 다른 쪽 장기에 혈액이 과잉으로 흘러드는 충혈을 대상성 충혈이라고 한다. 어느 국소의 혈액정지 또는 빈혈의 경우, 부근조직에 생기는 충혈을 방측성 충혈이라고 한다.	
1836	치매: dementia	    뇌의 기질적 장애에 의하여 후천적으로 일어나는 회복불능의 지능장애로서, 의식장애에 의한 것이 아닌 것을 말한다. 지능, 의지, 기억 등 정신적인 능력이 두드러지게 감퇴한 상태로서 정신박약과 같은 지능 장애인데, 정신박약이 주로 지능발육이 지체되거나 정지된 것인 데 비하여 치매는 일단 발달된 지능이 대뇌의 질환으로 인해 지속적으로 저하된 상태라는 점에서 구별된다. 과거의 체험에 의한 기억이나 지식이 단편적으로 남아 있고, 전체적으로 일정하지 않은 지능장애가 나타난다.	
1837	치아, 이빨: teeth	    위턱과 아래턱의 이틀돌기 내에 위치하는 단단한 석회화된 구조로서 음식물을 씹는데 사용됨. 사람에게는 생후 2년반에 나오는 모두 20개가 되는 유 나오는 모두 20개가 되는 젖니와 젖니가 빠진 후 나오는 모두 32개가 되는 영구치의 두 종류의 치아가 존재한다. 치아는 모양에 따라 앞니(incisor), 송곳니(canine), 어금니(molar)의 세 종류가 있다.	
1838	치유: healing	    인간의 세포는 발생한 후에 다시는 분열을 하지 못하는 세포가 있고 그 이후에도 계속해서 분열을 할 수 있는 세포가 있다. 신경세포가 전자의 대표적인 예이다. 그리고 신경세포를 제외하고는 대부분 후자에 속한다. 분열을 할 수 있는 세포가 손상을 받았을 때의 치유는 대개 직접 분열에 의해서 손상된 세포를 대치하는 것이 된다. 그러나 분열된 세포가 너무 많아서 직접 분열로 완전한 치유가 불가능할 경우에는 섬유모세포라는 세포가 섬유성 조직을 생산하므로써 손상된 세포의 부위를 채우게 된다. 이렇게 하여 치유된 조직은 정상세포로 치유된 조직과 달리 기능도 없고(섬유성 조직이니 기능이 없는 것은 당연하다) 모양도 보기 흉하게 된다. 이렇게 하여 치유된 부분을 흉터(scar)이라고 한다. 피부에 상처가 깊이 난 경우에 생기는 흉터가 반흔의 가장 좋은 예이다. 신경세포처럼 분열을 하지 못하는 세포는 반흔을 항상 남기게 된다.	
1839	치주병: periodontal disease	    잇몸과 치아, 그리고 그 주위 뼈의 염증과 퇴행성 변화를 말함. 치료에 있어서 잇몸의 제거가 필수적이다. 잇몸의 제거는 새로운 잇몸의 생성을 조장한다.	
1840	치즈괴사, 건락괴사: caseation necrosis	    조직이 치즈와 같이 건조하고, 형태가 없는 덩어리로 변화하는 것으로 결핵감염 병터에서 볼 수 있는 독특한 괴사의 하나이다.	
1841	치질: hemorrhoid	    항문의 병터 중 가장 흔히 볼 수 있는 병으로서 전 인구의 약 5% 가량에서 볼 수 있으며, 항문 및 항문주위 정맥얼기가 정맥자루처럼 확장된 것이다. 곧창자점막으로 된 것을 속치질, 편형상피세포로 덮여 있는 것을 외치질이라고 한다. 그러나 넓은 의미로는 곧창자 하단-항문-항문 주위조직에 생기는 병. 치질에는 여러 가지의 병태가 포함되며, 그 중에서도 정상인의 항문 주위에 있는 정맥얼기에 기인하는 치질과 항문곧창자 말단에 일어나는 화농성 병으로 인한 항문주위염-항문고름집-치질샛길이 가장 많다. 그 밖에 항문의 찢김, 치질의 탈출에 의한 탈항 등도 넓은 의미에서 치질에 포함된다. 치질은 한국이나 일본을 비롯하여 동남아시아인들에게서 흔히 볼 수 있는데, 그 이유는 섬유성 식품을 다량으로 섭취하므로 배변량이 많기 때문이다. 또한 배변체위(자세)의 부적당한 점도 치질을 한층 더 악화시키는 원인이 된다. 제2차 세계대전 전에는 항문 주위 염증이 치질의 2~5배로 화농성 병이 훨씬 많았으나 항생제가 보급된이래 급격히 감소되어 현재는 그 비율이 역전되었다.	
1842	치통: toothache	    치아의 통증. 일반적으로는 치아 자체의 통증뿐만 아니라, 치아를 턱뼈에 지탱시키고 있는 치주조직의 통증도 포함된다. 초기의 충치나 칫솔로 수평으로 세게 문질러서 치아의 잇몸 근처가 쐐기 모양으로 패어진 마모증 등에서 잇몸을 밀거나 치아를 교합해도 아프지는 않으나, 찬 공기나 물에 닿으면 통증을 느낀다. 치수염인 경우는 심한 통증이 있다. 특히 급성 화농성치수염인 경우는 치수가 부패하여 가스를 발생하고, 치수강 주위의 상아질에 둘러싸여 가스가 배출되지 못해 치수강 내의 압력이 증가하여 치수 내의 신경을 압박하기 때문에 몹시 아파 밤에 잠을 잘 수 없게 된다. 치아에 구멍을 뚫어 고름과 가스를 제거하면 통증은 없어진다. 이 밖에 치아가 들떠서 음식을 씹으면 아픈 치근막염이나 이틀뼈 등의 치주염, 치조농루의 급성발작 등이 있다. 	
